ID,Manhattan,MnFreq,MnRelFreq,Bx,BxFreq,BxRelFreq,Queens,QnFreq,QnRelFreq,Brooklyn,BkFreq,BkRelFreq,StatenIsland,SiFreq,SiRelFreq
1,apartment,201081,5.917577513,place,4439,1.774826176,place,19998,1.857576512,great,150833,5.224936616,stay,2159,4.316618682
2,great,196310,5.77717259,stay,4341,1.73564326,stay,18321,1.701803144,stay,126643,4.386981946,ferry,2114,4.226647473
3,stay,147973,4.354671488,great,3801,1.519737394,great,18093,1.680624654,apartment,124978,4.329305447,place,2011,4.020713372
4,place,141526,4.164943854,room,3017,1.206274065,clean,14296,1.327928484,place,124636,4.317458382,great,1817,3.632837492
5,location,116822,3.437934167,clean,2794,1.117112939,room,13152,1.221664481,clean,79086,2.739581771,clean,1363,2.725127959
6,clean,98495,2.898592096,nice,2723,1.088725316,nice,12400,1.151812619,nice,71715,2.484246348,house,1354,2.707133717
7,host,92503,2.722254578,host,2525,1.009559832,apartment,11768,1.09310733,host,65954,2.284682196,nice,1344,2.687140115
8,nice,78981,2.324318009,apartment,2462,0.984370814,host,10976,1.019539944,room,63803,2.210170393,room,1308,2.615163148
9,room,70210,2.066197787,subway,1869,0.747274188,subway,8311,0.771993119,subway,58890,2.039981419,island,1114,2.227287268
10,time,63197,1.859813439,time,1841,0.73607907,comfortable,7652,0.710779851,really,58598,2.029866381,manhattan,1107,2.213291747
11,really,63170,1.859018861,really,1827,0.73048151,good,7606,0.706506998,location,54870,1.900726447,host,1063,2.125319898
12,everything,63017,1.85451625,comfortable,1802,0.720485868,really,7543,0.700655047,comfortable,52498,1.818559085,staten,1055,2.109325016
