ID,ST,Freq,RelFreq,RelFreq2
1,place,1563,0.022720005,2.272000465
2,room,1127,0.016382243,1.638224264
3,manhattan,1089,0.015829869,1.582986888
4,apartment,1067,0.015510074,1.551007355
5,minutes,977,0.01420182,1.420181993
6,close,892,0.012966247,1.296624706
7,bedroom,809,0.011759746,1.175974649
8,train,799,0.011614385,1.161438498
9,subway,778,0.011309126,1.13091258
10,neighborhood,724,0.010524174,1.052417362
11,restaurants,660,0.00959386,0.959385993
12,away,654,0.009506643,0.950664302
13,min,648,0.009419426,0.941942611
14,located,640,0.009303137,0.93031369
15,bed,621,0.00902695,0.902695002
16,kitchen,600,0.008721691,0.872169085
17,private,595,0.00864901,0.864901009
18,good,588,0.008547257,0.854725703
19,astoria,562,0.008169317,0.816931709
20,walk,534,0.007762305,0.776230485
